
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.588030E+00 -1.595307E-11 -7.976660E-11
        66  1.588030E+00  1.595318E-11 -7.976490E-11
        67  1.588030E+00  1.595322E-11  7.976571E-11
        68  1.588030E+00 -1.595317E-11  7.976628E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.825626E-04  9.651252E-05
        66  1.000000E-02 -4.825626E-04  9.651252E-05
        67  1.000000E-02 -4.825626E-04 -9.651252E-05
        68  1.000000E-02  4.825626E-04 -9.651252E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

        14   2  1.270914E+00  3.256398E-10 -2.982721E-11  3.216342E-10 -2.103761E-11 -2.520536E-17
        14   3  1.270914E+00  9.885805E-10  2.071835E-10 -3.216337E-10 -2.103921E-11 -8.625402E-17
        14   4  1.270914E+00  3.256432E-10 -2.982343E-11 -3.216333E-10 -2.103999E-11  6.785319E-17
        14   5  1.270914E+00  9.885786E-10  2.071820E-10  3.216335E-10  2.103833E-11 -6.593641E-17
        14   6  1.270914E+00  3.256400E-10 -2.982687E-11  3.216338E-10  2.103902E-11  6.785319E-17
        14   7  1.270914E+00  9.885811E-10  2.071842E-10 -3.216340E-10  2.103708E-11 -1.778750E-16
        14   8  1.270914E+00  3.256412E-10 -2.982532E-11 -3.216337E-10  2.103708E-11  1.015881E-16
        15   1  1.270914E+00  2.516280E-10  8.484801E-11  6.786770E-11 -4.377717E-12  4.408540E-17
        15   2  1.270914E+00  1.112650E-10  3.405867E-11  6.786767E-11 -4.379338E-12  5.769437E-17
        15   3  1.270914E+00  2.516268E-10  8.484723E-11 -6.786725E-11 -4.380742E-12  1.176888E-16
        15   4  1.270914E+00  1.112626E-10  3.405567E-11 -6.786739E-11 -4.377204E-12  9.593366E-17
        15   5  1.270914E+00  2.516270E-10  8.484701E-11  6.786746E-11  4.380083E-12  7.053664E-17
        15   6  1.270914E+00  1.112641E-10  3.405778E-11  6.786763E-11  4.381459E-12 -3.450161E-18
        15   7  1.270914E+00  2.516331E-10  8.485345E-11 -6.786747E-11  4.376686E-12  1.441401E-16
        15   8  1.270914E+00  1.112684E-10  3.406144E-11 -6.786757E-11  4.378062E-12  8.433728E-18
        16   1  1.270914E+00  9.625365E-11  5.739814E-11  1.149157E-11 -7.486518E-13 -6.670312E-17
        16   2  1.270914E+00  7.254399E-11  4.889149E-11  1.149159E-11 -7.487992E-13 -1.399232E-16
        16   3  1.270914E+00  9.625287E-11  5.739670E-11 -1.149158E-11 -7.481405E-13  1.418400E-16
        16   4  1.270914E+00  7.254422E-11  4.889160E-11 -1.149144E-11 -7.487302E-13  9.593366E-17
        16   5  1.270914E+00  9.625409E-11  5.739858E-11  1.149160E-11  7.479287E-13 -8.893750E-17
        16   6  1.270914E+00  7.254433E-11  4.889171E-11  1.149135E-11  7.483218E-13 -1.299561E-16
        16   7  1.270914E+00  9.625043E-11  5.739414E-11 -1.149143E-11  7.495255E-13  6.900323E-17
        16   8  1.270914E+00  7.254189E-11  4.888938E-11 -1.149140E-11  7.493228E-13  1.222891E-16

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) for set ALL and time  0.5000000E-01

         1   1  3.901182E-04 -3.089679E-05 -5.100453E-05  8.441028E-05  2.786868E-05  4.023474E-21
         1   2  3.901182E-04 -1.153035E-04 -1.903382E-04  8.440316E-05  2.786480E-05  1.270664E-20
         1   3  3.901182E-04 -3.089679E-05 -5.100453E-05 -8.441028E-05  2.786868E-05 -9.528635E-21
         1   4  3.901182E-04 -1.153035E-04 -1.903382E-04 -8.440316E-05  2.786480E-05 -2.117078E-20
         1   5  3.901182E-04 -3.089679E-05 -5.100453E-05  8.441028E-05 -2.786868E-05  8.046709E-21
         1   6  3.901182E-04 -1.153035E-04 -1.903382E-04  8.440316E-05 -2.786480E-05  1.863474E-20
         1   7  3.901182E-04 -3.089679E-05 -5.100453E-05 -8.441028E-05 -2.786868E-05 -7.199413E-21
         1   8  3.901182E-04 -1.153035E-04 -1.903382E-04 -8.440316E-05 -2.786480E-05 -1.439580E-20
         2   1  5.051482E-04 -1.541375E-04 -2.308451E-04  2.169461E-05 -5.730731E-06  8.509965E-22
         2   2  5.051482E-04 -1.758319E-04 -2.021911E-04  2.169414E-05 -5.730895E-06  2.763159E-20
         2   3  5.051482E-04 -1.541375E-04 -2.308451E-04 -2.169461E-05 -5.730731E-06 -5.250392E-20
         2   4  5.051482E-04 -1.758319E-04 -2.021911E-04 -2.169414E-05 -5.730895E-06 -4.604730E-20
         2   5  5.051482E-04 -1.541375E-04 -2.308451E-04  2.169461E-05  5.730731E-06  1.609459E-20
         2   6  5.051482E-04 -1.758319E-04 -2.021911E-04  2.169414E-05  5.730895E-06  2.286763E-20
         2   7  5.051482E-04 -1.541375E-04 -2.308451E-04 -2.169461E-05  5.730731E-06 -4.403554E-20
         2   8  5.051482E-04 -1.758319E-04 -2.021911E-04 -2.169414E-05  5.730895E-06 -2.752193E-20
         3   1  5.044269E-04 -1.852879E-04 -1.922374E-04  4.140200E-06  2.921410E-07 -8.891712E-21
         3   2  5.044269E-04 -1.894281E-04 -1.936981E-04  4.140182E-06  2.921406E-07  2.752476E-21
         3   3  5.044269E-04 -1.852879E-04 -1.922374E-04 -4.140200E-06  2.921410E-07 -1.587844E-20
         3   4  5.044269E-04 -1.894281E-04 -1.936981E-04 -4.140182E-06  2.921406E-07  2.090731E-20
         3   5  5.044269E-04 -1.852879E-04 -1.922374E-04  4.140200E-06 -2.921410E-07 -1.693269E-21
         3   6  5.044269E-04 -1.894281E-04 -1.936981E-04  4.140182E-06 -2.921406E-07  2.540838E-21
         3   7  5.044269E-04 -1.852879E-04 -1.922374E-04 -4.140200E-06 -2.921410E-07 -1.609016E-20
         3   8  5.044269E-04 -1.894281E-04 -1.936981E-04 -4.140182E-06 -2.921406E-07 -4.234142E-21
         4   1  5.075448E-04 -1.912892E-04 -1.939876E-04  9.444493E-07 -1.339606E-07  7.621891E-21
         4   2  5.075448E-04 -1.922337E-04 -1.933178E-04  9.444485E-07 -1.339607E-07 -5.435845E-20
         4   3  5.075448E-04 -1.912892E-04 -1.939876E-04 -9.444493E-07 -1.339606E-07  3.472176E-20
         4   4  5.075448E-04 -1.922337E-04 -1.933178E-04 -9.444485E-07 -1.339607E-07  5.303526E-20
         4   5  5.075448E-04 -1.912892E-04 -1.939876E-04  9.444493E-07  1.339606E-07 -6.351522E-20
         4   6  5.075448E-04 -1.922337E-04 -1.933178E-04  9.444485E-07  1.339607E-07 -5.928089E-20
         4   7  5.075448E-04 -1.912892E-04 -1.939876E-04 -9.444493E-07  1.339606E-07  1.693752E-20
         4   8  5.075448E-04 -1.922337E-04 -1.933178E-04 -9.444485E-07  1.339607E-07  5.102394E-20
         5   1  5.077848E-04 -1.926500E-04 -1.930670E-04  1.931058E-07 -3.097045E-09 -6.605584E-20
         5   2  5.077848E-04 -1.928431E-04 -1.930515E-04  1.931057E-07 -3.097045E-09 -5.716370E-20
         5   3  5.077848E-04 -1.926500E-04 -1.930670E-04 -1.931058E-07 -3.097045E-09  4.911845E-20
         5   4  5.077848E-04 -1.928431E-04 -1.930515E-04 -1.931057E-07 -3.097045E-09  1.429092E-20
         5   5  5.077848E-04 -1.926500E-04 -1.930670E-04  1.931058E-07  3.097045E-09 -4.911845E-20
         5   6  5.077848E-04 -1.928431E-04 -1.930515E-04  1.931057E-07  3.097045E-09 -5.483481E-20
         5   7  5.077848E-04 -1.926500E-04 -1.930670E-04 -1.931058E-07  3.097045E-09  5.928088E-20
         5   8  5.077848E-04 -1.928431E-04 -1.930515E-04 -1.931057E-07  3.097045E-09  3.387471E-21
         6   1  5.078909E-04 -1.929293E-04 -1.930386E-04  4.218851E-08 -3.958858E-09 -8.172291E-20
         6   2  5.078909E-04 -1.929715E-04 -1.930188E-04  4.218851E-08 -3.958858E-09 -5.801056E-20
         6   3  5.078909E-04 -1.929293E-04 -1.930386E-04 -4.218851E-08 -3.958858E-09  1.397335E-20
         6   4  5.078909E-04 -1.929715E-04 -1.930188E-04 -4.218851E-08 -3.958858E-09  2.863478E-20
         6   5  5.078909E-04 -1.929293E-04 -1.930386E-04  4.218851E-08  3.958858E-09 -8.299321E-20
         6   6  5.078909E-04 -1.929715E-04 -1.930188E-04  4.218851E-08  3.958858E-09  1.693742E-21
         6   7  5.078909E-04 -1.929293E-04 -1.930386E-04 -4.218851E-08  3.958858E-09  1.863113E-20
         6   8  5.078909E-04 -1.929715E-04 -1.930188E-04 -4.218851E-08  3.958858E-09  5.610511E-20
         7   1  5.079064E-04 -1.929901E-04 -1.930108E-04  8.851558E-09 -4.155818E-10 -6.055116E-20
         7   2  5.079064E-04 -1.929990E-04 -1.930087E-04  8.851558E-09 -4.155818E-10 -8.563967E-20
         7   3  5.079064E-04 -1.929901E-04 -1.930108E-04 -8.851558E-09 -4.155818E-10  3.345135E-20
         7   4  5.079064E-04 -1.929990E-04 -1.930087E-04 -8.851558E-09 -4.155818E-10 -7.621823E-21
         7   5  5.079064E-04 -1.929901E-04 -1.930108E-04  8.851558E-09  4.155818E-10 -4.149660E-20
         7   6  5.079064E-04 -1.929990E-04 -1.930087E-04  8.851558E-09  4.155818E-10 -4.170832E-20
         7   7  5.079064E-04 -1.929901E-04 -1.930108E-04 -8.851558E-09  4.155818E-10  5.335278E-20
         7   8  5.079064E-04 -1.929990E-04 -1.930087E-04 -8.851558E-09  4.155818E-10 -2.096002E-20
         8   1  5.079106E-04 -1.930029E-04 -1.930077E-04  1.903361E-09 -1.440083E-10 -1.043767E-19
         8   2  5.079106E-04 -1.930048E-04 -1.930069E-04  1.903361E-09 -1.440083E-10 -5.970430E-20
