
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.901255E+00 -1.441276E-11 -7.206241E-11
        66  1.901255E+00  1.441279E-11 -7.206391E-11
        67  1.901255E+00  1.441263E-11  7.206423E-11
        68  1.901255E+00 -1.441268E-11  7.206204E-11

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-02  4.561117E-04  9.122234E-05
        66  1.000000E-02 -4.561117E-04  9.122234E-05
        67  1.000000E-02 -4.561117E-04 -9.122234E-05
        68  1.000000E-02  4.561117E-04 -9.122234E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

        13   7  1.521559E+00  4.985936E-09  7.622544E-10 -1.762793E-09  1.053269E-10  4.294453E-17
        13   8  1.521559E+00  1.640712E-09 -2.982744E-10 -1.762793E-09  1.053271E-10 -2.987503E-17
        14   1  1.521559E+00  1.089896E-09  1.709538E-10  3.772192E-10 -2.518659E-11 -7.842108E-17
        14   2  1.521559E+00  3.910481E-10 -2.577609E-11  3.772191E-10 -2.518856E-11  1.342025E-17
        14   3  1.521559E+00  1.089897E-09  1.709555E-10 -3.772182E-10 -2.518785E-11  2.614037E-17
        14   4  1.521559E+00  3.910494E-10 -2.577431E-11 -3.772183E-10 -2.518785E-11  1.598763E-16
        14   5  1.521559E+00  1.089893E-09  1.709509E-10  3.772185E-10  2.518793E-11 -3.360901E-17
        14   6  1.521559E+00  3.910453E-10 -2.577909E-11  3.772185E-10  2.518847E-11  6.535106E-18
        14   7  1.521559E+00  1.089895E-09  1.709529E-10 -3.772188E-10  2.518646E-11 -5.601522E-18
        14   8  1.521559E+00  3.910470E-10 -2.577676E-11 -3.772189E-10  2.518743E-11  1.969862E-16
        15   1  1.521559E+00  2.716712E-10  7.679741E-11  7.978176E-11 -4.935461E-12 -1.633772E-17
        15   2  1.521559E+00  1.213766E-10  3.076513E-11  7.978131E-11 -4.940068E-12  5.169722E-17
        15   3  1.521559E+00  2.716684E-10  7.679486E-11 -7.978147E-11 -4.940365E-12  1.927851E-16
        15   4  1.521559E+00  1.213734E-10  3.076202E-11 -7.978203E-11 -4.938929E-12  1.494902E-16
        15   5  1.521559E+00  2.716661E-10  7.679230E-11  7.978150E-11  4.943092E-12  1.867168E-17
        15   6  1.521559E+00  1.213733E-10  3.076169E-11  7.978193E-11  4.936153E-12  1.633772E-17
        15   7  1.521559E+00  2.716685E-10  7.679497E-11 -7.978176E-11  4.938101E-12  2.277945E-16
        15   8  1.521559E+00  1.213737E-10  3.076224E-11 -7.978144E-11  4.939769E-12  1.759806E-16
        16   1  1.521559E+00  9.724291E-11  5.137486E-11  1.355179E-11 -8.921576E-13 -1.349029E-16
        16   2  1.521559E+00  7.205849E-11  4.417005E-11  1.355203E-11 -8.931149E-13 -1.290680E-16
        16   3  1.521559E+00  9.724513E-11  5.137730E-11 -1.355241E-11 -8.926005E-13  1.339693E-16
        16   4  1.521559E+00  7.206149E-11  4.417349E-11 -1.355207E-11 -8.930791E-13 -1.723630E-16
        16   5  1.521559E+00  9.724302E-11  5.137508E-11  1.355239E-11  8.917350E-13 -1.008271E-16
        16   6  1.521559E+00  7.205871E-11  4.416994E-11  1.355191E-11  8.923932E-13 -1.764474E-16
        16   7  1.521559E+00  9.724402E-11  5.137608E-11 -1.355175E-11  8.933794E-13  1.531078E-16
        16   8  1.521559E+00  7.205782E-11  4.416983E-11 -1.355192E-11  8.933794E-13  2.427319E-17

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) for set ALL and time  0.5000000E-01

         1   1  4.058985E-04 -2.945978E-05 -4.895382E-05  8.048442E-05  2.674821E-05  4.552480E-21
         1   2  4.058985E-04 -1.099410E-04 -1.826859E-04  8.047794E-05  2.674463E-05  5.502490E-21
         1   3  4.058985E-04 -2.945978E-05 -4.895382E-05 -8.048442E-05  2.674821E-05 -1.408170E-20
         1   4  4.058985E-04 -1.099410E-04 -1.826859E-04 -8.047794E-05  2.674463E-05 -4.531390E-20
         1   5  4.058985E-04 -2.945978E-05 -4.895382E-05  8.048442E-05 -2.674821E-05  5.928874E-21
         1   6  4.058985E-04 -1.099410E-04 -1.826859E-04  8.047794E-05 -2.674463E-05  4.232172E-21
