
                        S T E P       1


                                INCREMENT     1


 forces (fx,fy,fz) for set RIGHT and time  0.5000000E-01

        65  1.332644E-01 -3.822300E-08 -1.911147E-07
        66  1.332644E-01  3.822300E-08 -1.911148E-07
        67  1.332644E-01  3.822300E-08  1.911148E-07
        68  1.332644E-01 -3.822300E-08  1.911147E-07

 displacements (vx,vy,vz) for set RIGHT and time  0.5000000E-01

        65  1.000000E-01  6.583864E-03  1.316775E-03
        66  1.000000E-01 -6.583864E-03  1.316775E-03
        67  1.000000E-01 -6.583864E-03 -1.316775E-03
        68  1.000000E-01  6.583864E-03 -1.316775E-03

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.5000000E-01

        12   6  1.071485E-01 -1.974270E-05 -2.074797E-05  1.387442E-06 -1.570060E-07 -3.312552E-14
        12   7  1.072020E-01  3.510884E-05  3.350597E-05 -1.387442E-06 -1.570060E-07  3.257562E-14
        12   8  1.071485E-01 -1.974270E-05 -2.074797E-05 -1.387442E-06 -1.570060E-07  3.373479E-14
        13   1  1.071868E-01  1.519446E-05  1.450207E-05  5.971306E-07  6.757258E-08  4.684132E-15
        13   2  1.071638E-01 -8.412671E-06 -8.847866E-06  5.971306E-07  6.757259E-08  4.970694E-15
        13   3  1.071868E-01  1.519446E-05  1.450207E-05 -5.971306E-07  6.757258E-08 -4.426150E-15
        13   4  1.071638E-01 -8.412671E-06 -8.847866E-06 -5.971306E-07  6.757258E-08 -4.442462E-15
        13   5  1.071868E-01  1.519446E-05  1.450207E-05  5.971306E-07 -6.757258E-08 -7.105162E-15
        13   6  1.071638E-01 -8.412671E-06 -8.847866E-06  5.971306E-07 -6.757258E-08 -6.997593E-15
        13   7  1.071868E-01  1.519446E-05  1.450207E-05 -5.971306E-07 -6.757258E-08  7.746195E-15
        13   8  1.071638E-01 -8.412671E-06 -8.847866E-06 -5.971306E-07 -6.757259E-08  7.562919E-15
        14   1  1.071802E-01  6.578649E-06  6.277708E-06  2.544375E-07  2.879270E-08  2.077689E-16
        14   2  1.071704E-01 -3.480356E-06 -3.671705E-06  2.544376E-07  2.879270E-08  3.211347E-16
        14   3  1.071802E-01  6.578649E-06  6.277708E-06 -2.544376E-07  2.879270E-08  3.737307E-16
        14   4  1.071704E-01 -3.480356E-06 -3.671705E-06 -2.544376E-07  2.879270E-08  1.386732E-16
        14   5  1.071802E-01  6.578649E-06  6.277708E-06  2.544376E-07 -2.879270E-08 -1.998219E-15
        14   6  1.071704E-01 -3.480356E-06 -3.671705E-06  2.544376E-07 -2.879270E-08 -1.863131E-15
        14   7  1.071802E-01  6.578649E-06  6.277708E-06 -2.544375E-07 -2.879270E-08  2.511883E-15
        14   8  1.071704E-01 -3.480356E-06 -3.671706E-06 -2.544376E-07 -2.879270E-08  2.291127E-15
        15   1  1.071773E-01  2.802864E-06  2.667784E-06  1.024750E-07  1.159629E-08 -4.827350E-16
        15   2  1.071733E-01 -1.248412E-06 -1.339354E-06  1.024750E-07  1.159630E-08 -2.999022E-16
        15   3  1.071773E-01  2.802864E-06  2.667784E-06 -1.024750E-07  1.159629E-08  8.467709E-16
        15   4  1.071733E-01 -1.248412E-06 -1.339354E-06 -1.024750E-07  1.159629E-08  5.505429E-16
        15   5  1.071773E-01  2.802864E-06  2.667784E-06  1.024750E-07 -1.159629E-08 -8.574525E-16
        15   6  1.071733E-01 -1.248412E-06 -1.339354E-06  1.024750E-07 -1.159629E-08 -6.899345E-16
        15   7  1.071773E-01  2.802864E-06  2.667784E-06 -1.024750E-07 -1.159629E-08  1.177436E-15
        15   8  1.071733E-01 -1.248412E-06 -1.339354E-06 -1.024750E-07 -1.159630E-08  8.637534E-16
        16   1  1.071758E-01  1.036714E-06  9.662361E-07  2.732947E-08  3.092661E-09 -7.814838E-16
        16   2  1.071748E-01 -4.373717E-08 -1.024434E-07  2.732947E-08  3.092663E-09 -1.763478E-15
        16   3  1.071758E-01  1.036714E-06  9.662363E-07 -2.732947E-08  3.092663E-09  9.158904E-16
        16   4  1.071748E-01 -4.373695E-08 -1.024432E-07 -2.732947E-08  3.092659E-09  1.782777E-15
        16   5  1.071758E-01  1.036714E-06  9.662363E-07  2.732947E-08 -3.092663E-09 -8.092783E-16
        16   6  1.071748E-01 -4.373703E-08 -1.024433E-07  2.732947E-08 -3.092660E-09 -1.707627E-15
        16   7  1.071758E-01  1.036714E-06  9.662361E-07 -2.732947E-08 -3.092660E-09  9.353968E-16
        16   8  1.071748E-01 -4.373709E-08 -1.024433E-07 -2.732947E-08 -3.092664E-09  1.895456E-15

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) for set ALL and time  0.5000000E-01

         1   1  1.775149E-03 -2.735931E-04 -3.680476E-04  7.473680E-04  2.010679E-04  2.715353E-17
         1   2  1.775149E-03 -1.020682E-03 -1.372881E-03  7.468091E-04  2.008656E-04  1.015272E-16
         1   3  1.775149E-03 -2.735931E-04 -3.680476E-04 -7.473680E-04  2.010679E-04  2.320246E-19
         1   4  1.775149E-03 -1.020682E-03 -1.372881E-03 -7.468091E-04  2.008656E-04  1.232637E-18
         1   5  1.775149E-03 -2.735931E-04 -3.680476E-04  7.473680E-04 -2.010679E-04  2.823987E-17
         1   6  1.775149E-03 -1.020682E-03 -1.372881E-03  7.468091E-04 -2.008656E-04  1.056246E-16
         1   7  1.775149E-03 -2.735931E-04 -3.680476E-04 -7.473680E-04 -2.010679E-04  1.331915E-18
         1   8  1.775149E-03 -1.020682E-03 -1.372881E-03 -7.468091E-04 -2.008656E-04  5.336795E-18
         2   1  3.860951E-03 -1.449615E-03 -1.853429E-03  4.251272E-04  6.174382E-05  1.423007E-16
         2   2  3.860951E-03 -1.874651E-03 -2.162100E-03  4.249459E-04  6.172469E-05  1.788287E-16
         2   3  3.860951E-03 -1.449615E-03 -1.853429E-03 -4.251272E-04  6.174382E-05 -2.356493E-17
         2   4  3.860951E-03 -1.874651E-03 -2.162100E-03 -4.249459E-04  6.172469E-05 -9.149682E-17
         2   5  3.860951E-03 -1.449615E-03 -1.853429E-03  4.251272E-04 -6.174382E-05  1.483643E-16
         2   6  3.860951E-03 -1.874651E-03 -2.162100E-03  4.249459E-04 -6.172469E-05  1.874785E-16
         2   7  3.860951E-03 -1.449615E-03 -1.853429E-03 -4.251272E-04 -6.174382E-05 -1.750128E-17
         2   8  3.860951E-03 -1.874651E-03 -2.162100E-03 -4.249459E-04 -6.172469E-05 -8.360788E-17
         3   1  4.743838E-03 -2.101700E-03 -2.318435E-03  1.953891E-04  2.370138E-05  1.797573E-16
         3   2  4.743838E-03 -2.297070E-03 -2.436935E-03  1.953507E-04  2.369856E-05  1.452997E-16
         3   3  4.743838E-03 -2.101700E-03 -2.318435E-03 -1.953891E-04  2.370138E-05 -1.063973E-16
         3   4  4.743838E-03 -2.297070E-03 -2.436935E-03 -1.953507E-04  2.369856E-05 -7.927069E-17
         3   5  4.743838E-03 -2.101700E-03 -2.318435E-03  1.953891E-04 -2.370138E-05  1.887758E-16
         3   6  4.743838E-03 -2.297070E-03 -2.436935E-03  1.953507E-04 -2.369856E-05  1.542791E-16
         3   7  4.743838E-03 -2.101700E-03 -2.318435E-03 -1.953891E-04 -2.370138E-05 -9.789272E-17
         3   8  4.743838E-03 -2.297070E-03 -2.436935E-03 -1.953507E-04 -2.369856E-05 -7.059460E-17
         4   1  5.122969E-03 -2.399931E-03 -2.498388E-03  8.567791E-05  9.880447E-06  1.233078E-16
         4   2  5.122969E-03 -2.485606E-03 -2.547789E-03  8.567053E-05  9.879957E-06  9.804706E-17
         4   3  5.122969E-03 -2.399931E-03 -2.498388E-03 -8.567791E-05  9.880447E-06 -5.883310E-17
         4   4  5.122969E-03 -2.485606E-03 -2.547789E-03 -8.567053E-05  9.879957E-06 -3.076344E-17
         4   5  5.122969E-03 -2.399931E-03 -2.498388E-03  8.567791E-05 -9.880447E-06  1.300030E-16
         4   6  5.122969E-03 -2.485606E-03 -2.547789E-03  8.567053E-05 -9.879957E-06  9.815348E-17
         4   7  5.122969E-03 -2.399931E-03 -2.498388E-03 -8.567791E-05 -9.880447E-06 -5.267879E-17
         4   8  5.122969E-03 -2.485606E-03 -2.547789E-03 -8.567053E-05 -9.879957E-06 -3.040692E-17
         5   1  5.286359E-03 -2.530549E-03 -2.573597E-03  3.711905E-05  4.221887E-06  9.570712E-17
         5   2  5.286359E-03 -2.567668E-03 -2.594706E-03  3.711766E-05  4.221797E-06  1.144973E-16
         5   3  5.286359E-03 -2.530549E-03 -2.573597E-03 -3.711905E-05  4.221887E-06 -3.471636E-17
         5   4  5.286359E-03 -2.567668E-03 -2.594706E-03 -3.711766E-05  4.221797E-06 -7.368320E-17
         5   5  5.286359E-03 -2.530549E-03 -2.573597E-03  3.711905E-05 -4.221887E-06  9.745088E-17
         5   6  5.286359E-03 -2.567668E-03 -2.594706E-03  3.711766E-05 -4.221797E-06  1.264297E-16
         5   7  5.286359E-03 -2.530549E-03 -2.573597E-03 -3.711905E-05 -4.221887E-06 -3.264817E-17
         5   8  5.286359E-03 -2.567668E-03 -2.594706E-03 -3.711766E-05 -4.221797E-06 -6.103013E-17
         6   1  5.356830E-03 -2.587121E-03 -2.605757E-03  1.603007E-05  1.816463E-06  1.030619E-16
         6   2  5.356830E-03 -2.603151E-03 -2.614839E-03  1.602982E-05  1.816446E-06  5.250153E-17
         6   3  5.356830E-03 -2.587121E-03 -2.605757E-03 -1.603007E-05  1.816463E-06 -6.554090E-17
         6   4  5.356830E-03 -2.603151E-03 -2.614839E-03 -1.602982E-05  1.816446E-06 -7.409248E-18
