material_id,polymer,form,case_id,bulk_density_kg_m3,aspect_ratio,wall_friction,inter_particle_friction,throat_fill,agitator_rpm,auger_rpm,screen_discharge_variability,bridge_index,bridge_clear_cycles,mass_per_rev_g,unobstructed_feed_g_h,effective_feed_g_h,estimated_torque_nm,estimated_current_a
PLA_SPAGHETTI,PLA,spaghetti fragments,oat_agitator_rpm_high,200,7.0,0.35,0.42,0.55,20.0,12.0,0.2,0.262860177404295,1,0.22135536192759497,159.37586058786837,151.83501853001232,1.0838797852474324,2.2674972735760974
PLA_SPAGHETTI,PLA,spaghetti fragments,oat_auger_rpm_low,200,7.0,0.35,0.42,0.55,14.0,4.0,0.2,0.3571458916900093,2,0.22135536192759497,53.125286862622794,49.71006083201178,0.9878797852474324,2.121577273576097
PLA_SPAGHETTI,PLA,spaghetti fragments,oat_auger_rpm_high,200,7.0,0.35,0.42,0.55,14.0,20.0,0.2,0.3571458916900093,2,0.22135536192759497,265.626434313114,248.55030416005891,1.1798797852474323,2.4134172735760973
PLA_SPAGHETTI,PLA,spaghetti fragments,oat_throat_fill_low,200,7.0,0.35,0.42,0.48,14.0,12.0,0.2,0.41839589169000935,2,0.21010745020570534,151.27736414810784,139.8844751683607,1.0051297852474321,2.147797273576097
PLA_SPAGHETTI,PLA,spaghetti fragments,oat_throat_fill_high,200,7.0,0.35,0.42,0.64,14.0,12.0,0.2,0.27839589169000933,1,0.23581696271288158,169.78821315327474,161.27991177340806,1.1851297852474323,2.421397273576097
PLA_SPAGHETTI,PLA,spaghetti fragments,oat_screen_discharge_variability_low,200,7.0,0.35,0.42,0.55,14.0,12.0,0.05,0.3331458916900093,2,0.22135536192759497,159.37586058786837,149.81868621377492,1.0838797852474324,2.2674972735760974
PLA_SPAGHETTI,PLA,spaghetti fragments,oat_screen_discharge_variability_high,200,7.0,0.35,0.42,0.55,14.0,12.0,0.4,0.38914589169000924,2,0.22135536192759497,159.37586058786837,148.2121775390492,1.0838797852474324,2.2674972735760974
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_00,150,4.5,0.29,0.34,0.48,8.0,4.0,0.05,0.2165714285714286,1,0.19282134380382154,46.277122512917174,44.473108057013626,0.348,1.14896
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_01,260,4.5,0.29,0.34,0.48,8.0,20.0,0.05,0.2165714285714286,1,0.33422366259329067,401.0683951119488,385.43360316078474,0.54,1.4408
PLA_SPAGHETTI,PLA,spaghetti fragments,corner_02,150,9.0,0.29,0.34,0.64,8.0,4.0,0.05,0.2665714285714286,1,0.19667777067989797,47.202664963175515,44.93774623348532,0.748,1.7569599999999999
