average_power_w,classification,control_margin_m_s,controlled_stop_seen,cooldown_max_temperature_c,cooldown_seen,cooling_feedback_min_a,cooling_residence_s,diameter_error_mm,drive_tripped,fault_detected,fault_reason,feeder_enabled,final_material_session,final_net_flow_gph,final_normal_flow_gph,final_process_state,final_screw_rpm,final_state,forming_chain_state_final,fuse_blown,fuse_broken,hard_stop_engaged,inertia_kg_m2,jam_detected,jam_fault,line_velocity_m_s,mass_flow_gph,max_settled_diameter_error_mm,max_temperature_c,maximum_absolute_diameter_error_mm,min_duty,minimum_reserve_w,normal_after_confirm_s,out_of_tolerance_duration_s,overlap_blocked,overshoot_percent,peak_bearing_load_n,peak_bus_power_w,peak_chain_force_n,peak_coolingPower_w,peak_cutter_rpm,peak_cutter_torque_nm,peak_dancer_angle_rad,peak_driverLossPower_w,peak_electronicsPower_w,peak_feederPower_w,peak_hard_stop_reaction_nm,peak_heaterPower_w,peak_length_imbalance_m,peak_line_tension_n,peak_motor_current_a,peak_motor_torque_nm,peak_net_flow_gph,peak_ovality_mm,peak_phase_error_rad,peak_phase_torque_nm,peak_power_w,peak_pressure_mpa,peak_process_heater_w,peak_pullerPower_w,peak_raw_pressure_mpa,peak_relief_flow_gph,peak_screwDrivePower_w,peak_screw_current_a,peak_screw_rpm,peak_screw_torque_nm,peak_shredderMotorPower_w,peak_spool_speed_rad_s,peak_spoolerPower_w,peak_traversePower_w,pending_material_activated,power_budget_safe,predicted_diameter_mm,protection_mechanism,psu_current_a,puller_enabled,puller_entry_mean_c,puller_entry_surface_c,purge_complete,purge_elapsed_s,purge_screw_revolutions,radius_m,ready,ready_to_rethread_s,recovery_time_s,relief_state,remaining_ampere_margin,remaining_watt_margin,requal_entry_s,requalification_entry_to_ready_s,response_latency_s,retry_count,retry_state,rise_time_s,rundown_requested,safe_pause,safe_state,samples,scenario,settling_time_s,spool_eligible_before_rethread,spool_eligible_during_fault,spool_eligible_during_invalid,spooler_enabled,startup_grace_seen,states_seen,status,steady_rpm,steady_state_error_percent,tach_qualified,traverse_enabled,virtual_diameter_pass,warning_seen,waste_mode_continuous,waste_mode_seen
,,,0,,,,,,,0,,,,,,,,,,,,0,0.001870266231522494,0,,,,,,,,,,,,,,,,,,,0.07408126115122898,,,,0.0,,0.003213536370478558,0.4063617322715057,1.15,0.12,,,,,,,,,,,,,,,,0.3804521202588152,,,,,,,,,,,,,,0.05202583447866282,,,,,,,,,,,,,,0,,1202,EmptySpool,,,,,,,,PASS,,,,,,0,,
,,,0,,,,,,,0,,,,,,,,,,,,0,0.004539255385638353,0,,,,,,,,,,,,,,,,,,,0.07805710246125165,,,,0.0,,0.00260393635409038,0.3036483915640379,1.15,0.12,,,,,,,,,,,,,,,,0.24811741741288,,,,,,,,,,,,,,0.07971620054294416,,,,,,,,,,,,,,0,,1202,HalfSpool,,,,,,,,PASS,,,,,,0,,
,,,0,,,,,,,0,,,,,,,,,,,,0,0.0072063,0,,,,,,,,,,,,,,,,,,,0.08014314747907769,,,,0.0,,0.00228746860047305,0.2582161523299376,1.15,0.12,,,,,,,,,,,,,,,,0.19771625159718,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,0,,1202,FullSpool,,,,,,,,PASS,,,,,,0,,
,,,1,,,,,,,1,,,,,,,,,,,,0,0.004537300401770473,1,,,,,,,,,,,,,,,,,,,0.3722695428824904,,,,0.0,,0.009163360411818564,0.0,2.11578935437057,0.2358947225244684,,,,,,,,,,,,,,,,0.0001869680238207641,,,,,,,,,,,,,,0.07969943882576282,,,,,,,,,,,,,,1,,1210,SpoolJam,,,,,,,,PASS,,,,,,1,,
,,,1,,,,,,,1,,,,,,,,,,,,1,0.0045373,0,,,,,,,,,,,,,,,,,,,0.4402588307943099,,,,0.2903364864874305,,0.02862036098482287,13.2,3.9,0.45,,,,,,,,,,,,,,,,0.5052971509157221,,,,,,,,,,,,,,0.07969943538068511,,,,,,,,,,,,,,1,,1352,DancerLimit,,,,,,,,PASS,,,,,,1,,
,FAULT_CONTAINMENT_AND_REQUALIFICATION,0.07057656374545519,,,,,34.79792179773065,-0.004999999999999893,,,,,,,,,,,,,,,,,,0.009423516255711384,99.4,0.5425,,0.5425,,,,8.8,,,,,,,,,,,,,,,,,,,,0.05500000000000016,,,,,,,,,,,,,,,,,,,1.745,,,,42.26166343229812,25.47626840063583,,,,,,,85.8,,,,,,,,,,,1,,4155,GaugeDropout,,,,0,,,,PASS,,,,,1,,,
,,,1,,,,,,,1,,,,,,,,,,,,0,0.004537300401770473,1,,,,,,,,,,,,,,,,,,,0.3722695428824904,,,,0.0,,0.009163360411818564,0.0,2.11578935437057,0.2358947225244684,,,,,,,,,,,,,,,,0.0001869680238207641,,,,,,,,,,,,,,0.07969943882576282,,,,,,,,,,,,,,1,,1210,RealSpoolJam,,,,,,,,PASS,,,,,,1,,
,,,1,,,,,,,1,,,,,,,,,,,,0,0.0072063,1,,,,,,,,,,,,,,,,,,,0.37532872285257,,,,0.0,,0.009526322913337573,0.0,2.379983460754888,0.2675980152905865,,,,,,,,,,,,,,,,0.0002138912010575403,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,1,,1210,SpoolJamPropagation,,,,,,,,PASS,,,,,,1,,
,,,,,,0.02,,,,,0,1,,84.49465891880939,,,15.05882352941178,,1,,,,,,,,,,,,,,,,,,,424.8050564974674,,,,,,,,,,,,,,,,,,,,3.621526588235293,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,37804,FullSystemPLA,,,0,,1,,,PASS,,,,,,,,1
,,,,,,0.02,,,,,0,1,,82.05041797142127,,,16.94117647058822,,1,,,,,,,,,,,,,,,,,,,460.9730873222966,,,,,,,,,,,,,,,,,,,,3.591088941176472,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,37800,FullSystemPET,,,0,,1,,,PASS,,,,,,,,1
,,,,,,0.02,,,,,1,1,,0.0,,,2.430046688489291e-16,,6,,,,,,,,,,,,,,,,,,,424.8050564974674,,,,,,,,,,,,,,,,,,,,3.621526588235293,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,37804,FullSystemGaugeFailure,,,0,,1,,,PASS,,,,,,,,1
,,,,,,0.02,,,,,0,0,,0.0,,,0.0,,1,,,,,,,,,,,,,,,,,,,270.8218545874569,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,1353,FullSystemJam,,,0,,0,,,PASS,,,,,,,,1
342.3314597840465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,16.0,,,,32.9150570485408,29.0,0.0,,360.0,,,,,,,,,473.3532701553008,,,0.0,,,0.0,,,,411.43821310676,,0.0,0.0,,1,,,19.72305292313753,,,,,,,,,,,,5.276947076862465,126.6467298446992,,,,,,,,,,510,ProcessShredToPreheatTransition,,,,,,,,PASS,,,,,,,,
407.64419609229407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,16.0,,,,0.0,29.0,8.0,,360.0,,,,,,,,,430.0006548025008,,,12.0,,,69.99885708158112,,,,0.0,,0.0,0.0,,1,,,17.9166939501042,,,,,,,,,,,,7.083306049895801,169.9993451974992,,,,,,,,,,508,ProcessPreheatToExtrusionTransition,,,,,,,,PASS,,,,,,,,
443.4194689515798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.0,,,,33.02398057071339,29.0,0.0,,0.0,,,,,,,,,474.8237377046308,,,0.0,,,0.0,,,,412.7997571339174,,0.0,0.0,,1,,,19.78432240435961,,,,,,,,,,,,5.215677595640384,125.1762622953692,,,,,,,,,,504,IllegalShredHeaterOverlap,,,,,,,,PASS,,,,,,,,
443.4194689515798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.0,,,,33.02398057071339,29.0,0.0,,0.0,,,,,,,,,474.8237377046308,,,0.0,,,0.0,,,,412.7997571339174,,0.0,0.0,,1,,,19.78432240435961,,,,,,,,,,,,5.215677595640384,125.1762622953692,,,,,,,,,,504,PSUPeakShredding,,,,,,,,PASS,,,,,,,,
405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,16.0,,,,0.0,29.0,0.0,,360.0,,,,,,,,,405.0,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,1,,,16.875,,,,,,,,,,,,8.125,195.0,,,,,,,,,,506,PSUPeakPreheat,,,,,,,,PASS,,,,,,,,
423.9804909612316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,16.0,,,,0.0,29.0,8.0,,298.7998451751187,,,,,,,,,445.0285286032584,,,12.0,,,74.99991744514853,,,,0.0,,9.999929316942683,4.0,,1,,,18.5428553584691,,,,,,,,,,,,6.4571446415309,154.9714713967416,,,,,,,,,,506,PSUPeakExtrusion,,,,,,,,PASS,,,,,,,,
