t_s,M1_A,M2_A,heater100a,heater100b,heater100c,heater60,admitted_W
46,0,0,1,1,1,1,407.84000000000003
47,0,0,1,1,1,1,407.84000000000003
48,0,0,1,1,1,1,407.84000000000003
49,0,0,1,1,1,1,407.84000000000003
50,0,0,1,1,1,1,407.84000000000003
51,0,0,1,1,1,1,407.84000000000003
52,0,0,1,1,1,1,407.84000000000003
53,0,0,1,1,1,1,407.84000000000003
54,0,0,1,1,1,1,407.84000000000003
55,0,0,1,1,1,1,407.84000000000003
56,0,0,1,1,1,1,407.84000000000003
57,0,0,1,1,1,1,407.84000000000003
58,0,0,1,1,1,1,407.84000000000003
59,0,0,1,1,1,1,407.84000000000003
60,7.12685416399913,1.8,1,1,0,0,462.0844999359791
61,7.483541435526345,1.8,1,0,0,1,430.6449944526323
62,7.868791649103381,1.8,0,0,1,1,439.8909995784811
63,8.267246094442276,1.8,0,1,1,0,489.4539062666147
64,8.663019650203077,1.8,1,1,0,0,498.95247160487384
65,9.04033407365328,1.8,1,0,0,1,468.0080177676788
66,9.384147029414448,1.8,0,0,1,1,476.25952870594676
67,9.680751779904897,1.8,0,1,0,1,483.37804271771756
68,9.918323629712994,1.8,1,0,0,1,489.07976711311187
69,10.087391338888208,1.8,1,0,0,1,493.137392133317
70,10.18121471138974,1.8,0,0,1,1,495.3891530733538
71,10.196053305432722,1.8,0,1,0,1,495.7452793303853
72,10.131315553098554,1.8,1,0,0,1,494.1915732743653
73,9.989582344281006,1.8,1,0,0,1,490.7899762627442
74,9.776504134750631,1.8,0,0,1,1,485.67609923401517
75,9.500575680314233,1.8,0,1,0,1,479.05381632754165
76,9.172797377707596,1.8,1,0,0,1,471.1871370649824
77,8.806236713491403,1.8,1,0,0,1,462.3896811237937
78,8.415507304598885,1.8,0,0,1,1,453.0121753103732
79,8.016186299544636,1.8,0,1,1,0,483.4284711890713
80,7.624193366669869,1.8,1,1,0,0,474.0206408000769
81,7.255156027203067,1.8,1,0,0,1,425.16374465287356
82,6.923786635304099,1.8,0,0,1,1,417.2108792472984
83,6.643295842931402,1.8,0,1,1,0,450.47910023035365
84,6.42486593283699,1.8,1,1,0,0,445.2367823880878
85,6.2772050162408854,1.8,1,0,0,1,401.69292038978125
86,6.206199867916807,1.8,1,0,1,1,499.98879683000337
87,6.214681239058734,1.8,0,1,1,0,440.19234973740964
88,6.302311004163752,1.8,1,1,0,0,442.2954640999301
89,6.465595641028837,1.8,1,0,0,1,406.21429538469204
90,6.698025506456647,1.8,0,0,1,1,411.79261215495956
91,6.990334355187431,1.8,0,1,1,0,458.80802452449836
92,7.330868755856212,1.8,1,1,0,0,466.98085014054914
93,7.706052676526758,1.8,1,0,0,1,435.98526423664225
94,8.100928718243264,1.8,0,0,1,1,445.4622892378384
95,8.499754419325903,1.8,0,1,1,0,495.0341060638217
96,8.886629857639797,1.8,1,0,0,1,464.31911658335514
97,9.246131530315399,1.8,1,0,0,1,472.94715672756956
98,9.56392724013627,1.8,0,0,1,1,480.57425376327046
99,9.82734747501421,1.8,0,1,0,1,486.89633940034105
100,10.025890501455255,1.8,1,0,0,1,491.6613720349261
101,10.151641035533952,1.8,1,0,0,1,494.6793848528149
102,10.199585800285337,1.8,0,0,1,1,495.8300592068481
103,10.167813389237232,1.8,0,1,0,1,495.0675213416936
104,10.05759046815448,1.8,1,0,0,1,492.42217123570754
105,9.873311277072112,1.8,1,0,0,1,487.9994706497307
106,9.622322445811959,1.8,0,0,1,1,481.975738699487
107,9.314630107035317,1.8,0,1,0,1,474.5911225688476
108,8.96250098330988,1.8,1,0,0,1,466.1400235994372
109,8.579973351590874,1.8,1,0,0,1,456.95936043818097
110,8.182297381419191,1.8,0,0,1,1,447.41513715406063
111,7.785327158786475,1.8,0,1,1,0,477.8878518108754
112,7.404888633757127,1.8,1,1,0,0,468.75732721017107
113,7.056148689780872,1.8,1,0,0,1,420.38756855474094
114,6.753010487911509,1.8,0,0,1,1,413.1122517098762
115,6.5075591916496585,1.8,0,1,1,0,447.22142059959185
116,6.329580169610919,1.8,1,1,0,0,442.94992407066206
117,6.2261688837587,1.8,1,0,0,1,400.46805321020884
118,6.2014480157267435,1.8,1,0,1,1,499.87475237744184
119,6.256403108512273,1.8,0,1,1,0,441.19367460429453
120,6.388843275986751,1.8,1,1,0,0,444.37223862368205
121,6.593488546612094,1.8,1,0,0,1,409.28372511869026
122,6.862180359243956,1.8,0,0,1,1,415.732328621855
123,7.184206819218755,1.8,0,1,1,0,463.46096366125016
124,7.546729747790555,1.8,1,1,0,0,472.1615139469733
125,7.935296499804453,1.8,1,0,0,1,441.4871159953069
126,8.334416145050957,1.8,0,0,1,1,451.06598748122303
127,8.728177042768944,1.8,0,1,0,1,460.5162490264547
128,9.100881188550778,1.8,1,0,0,1,469.46114852521873
129,9.437670044240077,1.8,1,0,0,1,477.54408106176186
130,9.725116900959204,1.8,0,0,1,1,484.44280562302094
131,9.951762159621781,1.8,0,1,0,1,489.8822918309228
132,10.108570188985395,1.8,1,0,0,1,493.6456845356495
133,10.189289547755676,1.8,1,0,0,1,495.58294914613623
134,10.190702209823117,1.8,0,0,1,1,495.61685303575484
135,10.112751856809005,1.8,0,1,0,1,493.74604456341615
136,9.958546123301444,1.8,1,0,0,1,490.04510695923466
137,9.734232705271054,1.8,1,0,0,1,484.6615849265054
138,9.448754270832783,1.8,0,0,1,1,477.8101024999868
139,9.113491944288384,1.8,0,1,0,1,469.7638066629213
140,8.741811576615737,1.8,1,0,0,1,460.84347783877774
141,8.348530891168714,1.8,1,0,0,1,451.40474138804916
142,7.949328747807134,1.8,0,0,1,1,441.8238899473712
143,7.560120076231603,1.8,0,1,1,0,472.48288182955844
144,7.196421397958851,1.8,1,1,0,0,463.75411355101244
145,6.872732231574064,1.8,1,0,0,1,415.98557355777757
