candidate_id,tip_mm,width_mm,eccentric_mm,gap_mm,hook_depth_mm,hooks,ratio_denominator,orbit_rpm,screen_hole_mm,screen_thickness_mm,screen_arc_deg,rising_fraction,shear_ratio,chamber_mm,min_eccentric_sleeve_od_mm,root_web_mm,pin_pitch_radius_screen_mm,pin_plate_od_screen_mm,compact_pin_family_possible,compact_pin_limit_mm,kinematic_geometry_feasible,mechanism_status,bearing_status,reject_reasons,sampled_gap_mm
C2-157,91.57822804099482,36.92604458968206,8.66166596015318,1.0688484358187358,13.127363073932766,9,16,107.64003473626639,4.579370956990433,3.9894420895425564,120.88980617329491,0.7542540939055685,3.0,111.03925683293865,35.32333192030636,-1.3382490534353622,161.97315345486447,349.94630690972895,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-158,94.29869490877574,40.46421459420927,9.725172547660753,0.7014646773061306,13.969808332291588,10,11,125.24643417259367,4.195722814767803,2.69770349016434,88.63109142784464,0.7203502025517062,5.333333333333333,115.15196935870951,37.45034509532151,-0.820460877903713,128.37227762912195,282.7445552582439,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-159,110.87225133651349,42.289578822958816,7.727549465895661,0.20186590103811528,10.912172220058237,9,15,99.58924562614789,4.161451772146993,3.3219865538716205,129.15896002383937,0.6822440591457815,4.0,126.73108207038104,33.455098931791326,13.523953448198505,136.00487059976365,298.0097411995273,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.2023869704802692
C2-160,90.21542618531389,42.466617894597405,13.215576900501578,0.491697792653496,12.426681729824029,7,7,153.04064261964282,3.993713569015775,3.40563393741095,125.96034895510216,0.6977189506937609,5.333333333333333,117.62997557162404,44.431153801003155,-4.818968637167089,116.2970767244139,258.5941534488278,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-161,107.44257912172343,37.20440414173565,11.650073915958334,0.4316839863637737,11.604113466440213,9,14,175.01580644891175,3.5119043808178274,2.9130245270654322,104.77474583027139,0.7545672692777726,3.0,131.60609492636763,41.30014783191667,4.617176094421502,192.2262196133125,410.452439226625,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.43168401110766297
C2-162,103.02129238702618,43.36733851519057,8.785400105440955,0.39013403173493194,8.881698194218018,7,6,93.3763315299027,4.40557539720665,2.965828167546972,115.96013076578808,0.7767464579499318,3.0,121.37236066137795,35.57080021088191,8.628947999295072,67.64758081189535,161.2951616237907,True,178,False,PROFILE_CONTACT_CHECK_REQUIRED,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-163,92.01524738750436,44.401271473362954,7.913640932322265,0.8300939218424341,10.71370892604186,7,11,100.56547793663341,3.9462561702761,2.3853414364740595,95.62177608357106,0.686469760887341,5.333333333333333,109.50271709583376,33.82728186464453,4.293914767710319,104.4600603066539,234.9201206133078,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-164,108.46079913981363,37.154319094176664,13.362574541667545,1.1467853837321322,13.141569951326481,6,10,134.07490686878464,3.690783852842956,2.7611983595632115,85.37181956944177,0.6806014064724075,5.333333333333333,137.47951899061297,44.72514908333509,3.588829618580334,161.6871519541773,349.3743039083546,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.1467878566166831
C2-165,90.40087400303578,39.38330562232575,13.100633269327448,0.7719428012567258,13.543367328400567,9,16,96.06343556720486,4.615497859247752,2.052769521768143,121.54496433786574,0.6485425298766313,3.0,118.14602614420413,44.20126653865489,-5.842930326882676,244.98184213642327,515.9636842728465,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-166,113.69934543459777,39.66729175325023,8.246308821040769,1.1275801744999638,13.684218568310808,8,11,122.50126350002313,3.2308650124751255,2.362558656426172,108.46991861347786,0.6587105337400087,5.333333333333333,132.44712342567925,34.49261764208154,12.165454148988076,108.85127643773816,243.70255287547633,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.1286893752937317
C2-167,97.78585427559828,38.111796467998396,13.244701814580225,1.0031061437013082,13.322347754719976,8,15,97.87800331486955,5.420927499866121,3.4369883188894783,92.05741762732211,0.719322017515064,3.0,126.28147019216135,44.48940362916045,-1.9294206169208366,233.10675193661197,492.21350387322394,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-168,112.27264922307418,36.24446317806467,9.558269498728116,0.6220473694494892,12.255840571890165,6,15,126.37148268927558,5.387965662982531,2.1742823991005147,109.99768392428297,0.654499960194878,3.0,132.63328295942938,37.11653899745623,9.88048403964693,168.22554317761484,362.4510863552297,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.6227102926681454
C2-169,90.85648679964658,40.75095147700035,11.428083387437754,0.5133073788533024,8.481385860939254,8,12,126.95365127762194,5.423228668429871,2.7672572163372293,103.70969993209474,0.7429864259689624,4.0,114.73926833222869,40.856166774875504,-0.5531424611159679,163.4215924403599,352.8431848807198,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-170,101.01003207179586,37.926391477328316,7.593314109221438,0.32693172519322033,10.192239671699337,10,9,108.1730911017043,3.620983993074436,3.6168839947407685,106.15670532206576,0.7753805743989213,4.0,116.85052374062518,33.18662821844288,9.312776364198598,83.52645520143582,193.05291040287165,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-171,114.91082715377895,37.6959815948905,8.831606775925342,0.5770663154944906,13.712915594897593,8,9,106.58873927678147,4.010234043479152,3.8468455080651887,119.06032968907972,0.7163587019691195,5.333333333333333,133.72817333661862,35.66321355185069,9.742497981991882,97.14767453517878,220.29534907035756,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.577147487879401
C2-172,107.02561341207593,41.10726506175862,9.508847677530127,0.6562332666872921,8.66976974204971,8,10,138.08238911296118,4.49338345572639,2.5566461356127097,108.10614001192816,0.7769288705023326,4.0,127.35577530051077,37.017695355060255,10.843036963988254,115.05705689811455,256.1141137962291,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.6562425318207588
C2-173,109.79297941443863,44.95213369921148,12.782502488994677,0.9609402553950774,9.36238183990486,10,13,123.78763750268195,3.453778743997316,3.476644145684838,123.86018059780231,0.7124852307756201,4.0,137.27986490321814,43.565004977989354,8.03410786731446,196.85053833051802,419.70107666103604,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.960942089924103
C2-174,91.37849650550964,36.762062451532245,8.927169600729497,0.9245809202019344,11.728434965048313,9,15,117.80002754695693,4.801318273418544,2.883258902358227,94.1169130616109,0.7949449378791381,3.0,111.08199754737251,35.854339201459,-0.039186712293492576,157.11818497283917,340.23636994567835,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-175,105.34674969454,41.043016258869834,12.747131940319175,0.27013579186152714,13.107996670015712,10,14,62.98075863553399,3.3958049025765025,3.4860763116110913,86.93736888798618,0.6847950635513654,3.0,131.3812851589014,43.49426388063835,2.0653781772542885,210.3276770152664,446.6553540305328,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-176,109.35473566751129,43.706192300221446,10.513144647647024,0.9803623590744266,8.521342185108738,10,6,132.3319942044704,3.3205933954398086,2.904996309061916,81.01653190031557,0.638312795213632,5.333333333333333,132.3417496809542,39.02628929529405,12.15602564864691,80.9512137868821,187.9024275737642,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.980362936733755
C2-177,93.9616332865086,42.332586385965726,12.705918218191055,0.23591503542161474,11.897051878771263,8,6,167.960507150856,3.7063179068642533,2.8454068025892414,82.65190022027771,0.6318081766179642,3.0,119.84529979373394,43.41183643638211,-2.4162352355169645,97.83557028007112,221.67114056014225,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
C2-178,109.6635064283602,36.40734384206782,11.247812150346546,0.6125817903553548,11.149784406337911,7,13,82.33051779038311,5.161075110689716,2.187201302176828,124.69184921444311,0.7510509427202137,5.333333333333333,133.384294309764,40.495624300693095,6.181968807842182,173.2163071153368,372.4326142306736,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.612582934415471
C2-179,92.75734375833062,37.66807049754592,7.2842767429814375,0.7222010046548237,8.776788387534062,8,9,127.21294450228142,4.977431284663521,2.925369454428317,119.26562678136483,0.690783448669818,4.0,108.77029925360314,32.56855348596287,6.6018834916312485,80.12704417279582,186.25408834559164,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-180,111.7836637224194,35.62017502800883,11.67673328723723,0.7400857942976322,11.465168106659636,10,15,102.15914905936617,4.997646446643429,3.125799950682585,114.13666747642465,0.735016324935122,3.0,136.61730188548913,41.35346657447446,6.926663754550063,205.51050585537527,437.02101171075054,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,0.7435719335511521
C2-181,112.00381055823144,44.03251109551811,8.633853440116035,1.0913476927688435,12.972116479799631,9,7,69.81069928813228,5.015502351270378,2.0363149137718777,101.13970839295229,0.7981513221526466,4.0,131.4542128240012,35.26770688023207,9.029788799316087,75.97791027302111,177.95582054604222,True,178,True,PROFILE_CONTACT_CHECK_REQUIRED,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.0916296682707411
C2-182,99.18491961286361,35.44525551640621,10.571091337790694,0.4516026492321675,9.739546366676842,10,15,107.18148621696889,5.273414189640599,3.45591462307836,129.33126431132126,0.6614449929333749,5.333333333333333,121.23030758690933,39.14218267558139,5.852913439754964,186.05120754511623,398.10241509023245,False,178,False,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE,
C2-183,110.25199609900795,40.01145105076465,12.487568458150273,1.1568998579562475,13.408716336640332,9,15,140.86139403974772,4.374508511740928,2.398023816622764,123.26880812136318,0.7658054578198863,5.333333333333333,137.540932731221,42.97513691630054,4.217281712863645,219.78120486344483,465.56240972688965,False,178,True,ALTERNATIVE_CONSTRAINT_REQUIRED_OR_LARGER_CASSETTE,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,,1.1598008564524775
C2-184,95.64310094485357,38.84959765889421,9.63325439463325,0.402225499763608,11.763126375304815,7,6,114.10597511034703,3.0046988822132596,3.8127019714820856,103.62868411916963,0.7989854466682673,4.0,115.71406073364729,37.266508789266496,2.0584240971219714,74.17605883867603,174.35211767735206,True,178,False,PROFILE_CONTACT_CHECK_REQUIRED,NOMINAL_BOUNDARY_NOT_APPROVED_MPN,CHAMBER_OUTSIDE_HANDOVER_RANGE|ECCENTRIC_SLEEVE_OR_BEARING_ROOT_WEB,
